name,price,link
"INNO3D GEFORCE RTX 3080 ICHILL X3 (C30803-106XX-1810VA37)
",74 999,hotline.ua/computer-videokarty/inno3d-geforce-rtx-3080-ichill-x3-c30803-106xx-1810va37/
"INNO3D GeForce RTX 2080 SUPER iCHILL FROSTBITE (C208SB-08D6X-1180FROS)
",35 660,hotline.ua/computer-videokarty/inno3d-geforce-rtx-2080-super-ichill-frostbite-c208sb-08d6x-1180fros/
"Palit GeForce RTX 3070 JetStream OC (NE63070T19P2-1040J)
",45 433,hotline.ua/computer-videokarty/palit-geforce-rtx-3070-jetstream-oc-ne63070t19p2-1040j/
"ASRock Radeon RX 6900 XT 16G
",49 999,hotline.ua/computer-videokarty/asrock-radeon-rx-6900-xt-16g/
"GIGABYTE GeForce RTX 3070 EAGLE OC 8G (GV-N3070EAGLE OC-8GD)
",43 949,hotline.ua/computer-videokarty/gigabyte-geforce-rtx-3070-eagle-oc-8g-gv-n3070eagle-oc-8gd/
"ASUS TUF-RX6800XT-O16G-GAMING
",47 999,hotline.ua/computer-videokarty/asus-tuf-rx6800xt-o16g-gaming/
"Palit GeForce RTX 3070 GameRock (NE63070019P2-1040G)
",44 999,hotline.ua/computer-videokarty/palit-geforce-rtx-3070-gamerock-ne63070019p2-1040g/
"Gainward GeForce RTX 3070 Phantom ""GS"" (NE63070T19P2-1040P)
",45 625,hotline.ua/computer-videokarty/geforce-rtx-3070-phantom-gs-ne63070t19p2-1040p/
"Gainward GeForce GTX 1660 SUPER Pegasus OC (471056224-1358)
",19 613,hotline.ua/computer-videokarty/gainward-geforce-gtx-1660-super-pegasus-oc-471056224-1358/
"ASUS DUAL-RTX2070S-8G-EVO
",27 999,hotline.ua/computer-videokarty/asus-dual-rtx2070s-8g-evo/
"MSI GeForce GTX 1660 GAMING X 6G
",17 099,hotline.ua/computer-videokarty/msi-geforce-gtx-1660-gaming-x-6g/
"GIGABYTE GeForce GTX 1050 Ti D5 4G (GV-N105TD5-4GD)
",7 271,hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1050-ti-d5-4g-gv-n105td5-4gd/
"Sapphire RX 5600 XT 6G GDDR6 PULSE (11296-01)
",24 399,hotline.ua/computer-videokarty/sapphire-rx-5600-xt-6g-gddr6-pulse-11296-01/
"ASUS ROG-STRIX-RTX3060TI-O8G-GAMING
",46 999,hotline.ua/computer-videokarty/asus-rog-strix-rtx3060ti-o8g-gaming/
"GIGABYTE GT 1030 OC 2G (GV-N1030OC-2GI)
",2 986,hotline.ua/computer-videokarty/gigabyte-gt-1030-oc-2g-gv-n1030oc-2gi/
"ASUS TUF3-GTX1660-O6G-GAMING
",13 599,hotline.ua/computer-videokarty/asus-tuf3-gtx1660-o6g-gaming/
"GIGABYTE AORUS Radeon RX 6800 XT MASTER TYPE C 16G (GV-R68XTAORUS M-16GC)
",45 999,hotline.ua/computer-videokarty/gigabyte-aorus-radeon-rx-6800-xt-master-type-c-16g-gv-r68xtaorus-m-16gc/
"ASUS TURBO-RTX2080TI-11G
",30 999,hotline.ua/computer-videokarty/asus-turbo-rtx2080ti-11g/
"GIGABYTE Radeon RX 6800 GAMING OC 16G (GV-R68GAMING OC-16GD)
",44 990,hotline.ua/computer-videokarty/gigabyte-radeon-rx-6800-gaming-oc-16g-gv-r68gaming-oc-16gd/
"Zotac GAMING GeForce RTX 3070 Twin Edge OC (ZT-A30700H-10P)
",44 464,hotline.ua/computer-videokarty/zotac-gaming-geforce-rtx-3070-twin-edge-oc-zt-a30700h-10p/
"ASUS DUAL-RX580-O4G
",6 599,hotline.ua/computer-videokarty/asus-dual-rx580-o4g/
"ASUS DUAL-GTX1060-3G
",8 555,hotline.ua/computer-videokarty/asus-dual-gtx1060-3g/
"MSI GeForce RTX 2080 Ti GAMING X TRIO
",42 999,hotline.ua/computer-videokarty/msi-geforce-rtx-2080-ti-gaming-x-trio/
"Gainward GeForce RTX 3080 Phantom GS (NED3080H19IA-1020P/471056224-2140)
",71 174,hotline.ua/computer-videokarty/gainward-geforce-rtx-3080-phantom-gs-ned3080h19ia-1020p/
"XFX Radeon RX 570 RS 8GB XXX Edition (RX-570P8DFD6)
",16 800,hotline.ua/computer-videokarty/xfx-radeon-rx-570-rs-8gb-xxx-edition-rx-570p8dfd6/
"ASUS TURBO-RTX2080-8G
",28 999,hotline.ua/computer-videokarty/asus-turbo-rtx2080-8g/
"ASUS COD-BO4-ROG-STRIX-RTX2080TI
",34 999,hotline.ua/computer-videokarty/asus-cod-bo4-rog-strix-rtx2080ti/
"XFX Radeon RX 6800 XT Speedster MERC319 BLACK (RX-68XTACBD9)
",42 890,hotline.ua/computer-videokarty/xfx-radeon-rx-6800-xt-speedster-merc319-black-rx-68xtacbd9/
"PowerColor Radeon RX 6800 XT 16 GB Red Dragon (AXRX 6800XT 16GBD6-3DHR/OC)
",46 200,hotline.ua/computer-videokarty/powercolor-radeon-rx-6800-xt-16-gb-red-dragon-axrx-6800xt-16gbd6-3dhroc/
"ASUS TUF-RTX3060TI-8G-GAMING
",41 499,hotline.ua/computer-videokarty/asus-tuf-rtx3060ti-8g-gaming/
"Zotac GAMING GeForce GTX 1650 OC (ZT-T16520F-10L)
",8 590,hotline.ua/computer-videokarty/zotac-gaming-geforce-gtx-1650-oc-zt-t16520f-10l/
"AFOX Radeon R5 220 2 GB (AFR5220-2048D3L5)
",984,hotline.ua/computer-videokarty/afox-radeon-r5-220-2-gb-afr5220-2048d3l5/
"GIGABYTE GeForce GTX 1080 WINDFORCE OC 8G (GV-N1080WF3OC-8GD)
",29 070,hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1080-windforce-oc-8g-gv-n1080wf3oc-8gd/
"MSI Radeon RX 5700 XT MECH OC
",35 999,hotline.ua/computer-videokarty/msi-radeon-rx-5700-xt-mech-oc/
"GIGABYTE Radeon RX 5700 XT 8GB Gaming OC (GV-R57XTGAMING OC-8GD)
",36 999,hotline.ua/computer-videokarty/gigabyte-radeon-rx-5700-xt-8gb-gaming-oc-gv-r57xtgaming-oc-8gd/
"Zotac GAMING GeForce RTX 3070 Twin Edge OC White Edition (ZT-A30700J-10P)
",42 731,hotline.ua/computer-videokarty/zotac-gaming-geforce-rtx-3070-twin-edge-oc-white-edition-zt-a30700j-10p/
"GIGABYTE GeForce GTX 1050 Ti OC Low Profile 4G (GV-N105TOC-4GL)
",6 882,hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1050-ti-oc-low-profile-4g-gv-n105toc-4gl/
"MSI GeForce GTX 1050 TI 4GT OC
",7 249,hotline.ua/computer-videokarty/msi-geforce-gtx-1050-ti-4gt-oc/
"MSI GeForce GT 1030 AERO ITX 2G OC
",2 825,hotline.ua/computer-videokarty/msi-geforce-gt-1030-aero-itx-2g-oc/
"INNO3D GeForce GTX 1060 6GB Crypto Mining Board (MN106F-5SDN-N5G-M)
",12 499,hotline.ua/computer-videokarty/inno3d-geforce-gtx-1060-6gb-crypto-mining-board-mn106f-5sdn-n5g-m/
"AMD Radeon HD 7470 1 GB 64-bit DDR3 (OUGA9)
",461,hotline.ua/computer-videokarty/amd-radeon-hd-7470-1-gb-64-bit-ddr3-ouga9/
"AMD Radeon HD 7470 1 GB 64-bit DDR3 (OUGA9)
",461,hotline.ua/computer-videokarty/amd-radeon-hd-7470-1-gb-64-bit-ddr3-ouga9/
"INNO3D GEFORCE RTX 3070 ICHILL X4 (C30704-08D6X-1710VA35)
",42 999,hotline.ua/computer-videokarty/inno3d-geforce-rtx-3070-ichill-x4-c30704-08d6x-1710va35/
"MSI GeForce GTX 1650 D6 VENTUS XS OC
",10 088,hotline.ua/computer-videokarty/msi-geforce-gtx-1650-d6-ventus-xs-oc/
"AFOX GeForce GT 730 2 GB (AF730-2048D5H5)
",2 215,hotline.ua/computer-videokarty/afox-geforce-gt-730-2-gb-af730-2048d5h5/
"Palit GeForce GTX 1650 GP OC (NE61650S1BG1-1175A)
",8 444,hotline.ua/computer-videokarty/palit-geforce-gtx-1650-gp-oc-ne61650s1bg1-1175a/
"Colorful GeForce GTX 960 4GB iCafe V3 (GTX960-4GD5-V3)
",5 255,hotline.ua/computer-videokarty/colorful-geforce-gtx-960-4gb-icafe-v3-gtx960-4gd5-v3/
"MSI GeForce GTX 1660 Ti VENTUS XS 6G
",17 920,hotline.ua/computer-videokarty/msi-geforce-gtx-1660-ti-ventus-xs-6g/
"MSI GeForce GTX 1050 Ti Aero ITX 4G OCV1
",6 568,hotline.ua/computer-videokarty/msi-geforce-gtx-1050-ti-aero-itx-4g-ocv1/
"MSI GeForce GT 1030 2GH LP OC
",2 664,hotline.ua/computer-videokarty/msi-geforce-gt-1030-2gh-lp-oc/
"ASUS ROG-STRIX-LC-RX6800XT-O16G-GAMING
",51 499,hotline.ua/computer-videokarty/asus-rog-strix-lc-rx6800xt-o16g-gaming/
"PowerColor Radeon RX 5600 XT 6GB (AXRX 5600XT 6GBD6-3DHV2/OC)
",23 999,hotline.ua/computer-videokarty/powercolor-axrx-5600xt-6gbd6-3dhv2oc/
"GIGABYTE GeForce RTX 3090 EAGLE OC 24G (GV-N3090EAGLE OC-24GD)
",87 999,hotline.ua/computer-videokarty/gigabyte-geforce-rtx-3090-eagle-oc-24g-gv-n3090eagle-oc-24gd/
"ASUS DUAL-RTX2070-O8G-EVO
",25 199,hotline.ua/computer-videokarty/asus-dual-rtx2070-o8g-evo/
"ASUS TURBO-RTX2060-6G
",18 999,hotline.ua/computer-videokarty/asus-turbo-rtx2060-6g/
"KFA2 GeForce RTX 2080 Super EX 1-Click OC (28ISL6MDU9EK)
",32 999,hotline.ua/computer-videokarty/kfa2-geforce-rtx-2080-super-ex-1-click-oc-28isl6mdu9ek/
"ASUS DUAL-RTX2080TI-11G
",33 099,hotline.ua/computer-videokarty/asus-dual-rtx2080ti-11g/
"GIGABYTE GeForce RTX 3080 VISION OC 10G (GV-N3080VISION OC-10GD)
",74 999,hotline.ua/computer-videokarty/gigabyte-geforce-rtx-3080-vision-oc-10g-gv-n3080vision-oc-10gd/
"Palit GeForce RTX 3080 GameRock OC (NED3080H19IA-1020G)
",77 825,hotline.ua/computer-videokarty/palit-geforce-rtx-3080-gamerock-oc-ned3080h19ia-1020g/
"GIGABYTE GeForce RTX 3090 VISION OC 24G (GV-N3090VISION OC-24GD)
",87 999,hotline.ua/computer-videokarty/gigabyte-geforce-rtx-3090-vision-oc-24g-gv-n3090vision-oc-24gd/
"GIGABYTE GV-N710D5-1GL
",1 227,hotline.ua/computer-videokarty/gigabyte-gv-n710d5-1gl/
"MSI GeForce GTX 1050 TI 4GT LP
",7 318,hotline.ua/computer-videokarty/msi-geforce-gtx-1050-ti-4gt-lp/
"ASUS DUAL-RTX2060-A6G
",21 599,hotline.ua/computer-videokarty/asus-dual-rtx2060-a6g/
"MSI Radeon RX 470 ARMOR 4G
",7 895,hotline.ua/computer-videokarty/msi-radeon-rx-470-armor-4g/
"PowerColor Radeon RX 6800 XT 16 GB Red Devil (AXRX 6800XT 16GBD6-3DHE/OC)
",49 970,hotline.ua/computer-videokarty/powercolor-radeon-rx-6800-xt-16-gb-red-devil-axrx-6800xt-16gbd6-3dheoc/
"GIGABYTE GT 1030 Silent Low Profile 2G (GV-N1030SL-2GL)
",2 866,hotline.ua/computer-videokarty/gigabyte-gt-1030-silent-low-profile-2g-gv-n1030sl-2gl/
"GIGABYTE GV-N710D5-2GIL
",1 780,hotline.ua/computer-videokarty/gigabyte-gv-n710d5-2gil/
"ASUS TUF-RTX3090-24G-GAMING
",104 821,hotline.ua/computer-videokarty/asus-tuf-rtx3090-24g-gaming/
"ASUS CERBERUS-GTX1050TI-A4G
",7 688,hotline.ua/computer-videokarty/asus-cerberus-gtx1050ti-a4g/
"ASUS PH-GTX1650S-O4G
",12 599,hotline.ua/computer-videokarty/asus-ph-gtx1650s-o4g/
"Gainward GeForce GTX 1660 SUPER Ghost (471056224-1402)
",17 199,hotline.ua/computer-videokarty/gainward-geforce-gtx-1660-super-ghost-471056224-1402/
"ASUS DUAL-RTX2070S-O8G-EVO
",27 999,hotline.ua/computer-videokarty/asus-dual-rtx2070s-o8g-evo/
"MSI Radeon RX 6800 XT GAMING TRIO 16G
",44 850,hotline.ua/computer-videokarty/msi-radeon-rx-6800-xt-gaming-trio-16g/
"GIGABYTE GeForce GTX 1050 OC Low Profile 2G (GV-N1050OC-2GL)
",4 276,hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1050-oc-low-profile-2g-gv-n1050oc-2gl/
"ASUS DUAL-RX5700-O8G-EVO
",29 850,hotline.ua/computer-videokarty/asus-dual-rx5700-o8g-evo/
"ASUS TURBO-GTX1060-6G
",9 122,hotline.ua/computer-videokarty/asus-turbo-gtx1060-6g/
"GIGABYTE GeForce GTX 1050 Windforce OC 2G (GV-N1050WF2OC-2GD)
",4 451,hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1050-windforce-oc-2g-gv-n1050wf2oc-2gd/
"HP Quadro RTX 4000 (5JV89AA)
",35 233,hotline.ua/computer-videokarty/hp-quadro-rtx-4000-5jv89aa/
"ASUS DUAL-RTX2080S-8G-EVO-V2
",29 499,hotline.ua/computer-videokarty/asus-dual-rtx2080s-8g-evo-v2/
"HP Quadro P2200 (6YT67AA)
",20 135,hotline.ua/computer-videokarty/hp-quadro-p2200-6yt67aa/
"ASUS STRIX-GTX1650S-O4G-GAMING
",12 284,hotline.ua/computer-videokarty/asus-strix-gtx1650s-o4g-gaming/
"AMD Radeon R5 340 2GBb 64bit DDR3 (7122107700G 701B5F)
",896,hotline.ua/computer-videokarty/amd-radeon-r5-340-2gbb-64bit-ddr3-7122107700g-701b5f/
"PowerColor Radeon RX 6800 16 GB (AXRX 6800 16GBD6-3DH/OC)
",38 999,hotline.ua/computer-videokarty/powercolor-radeon-rx-6800-16-gb-axrx-6800-16gbd6-3dhoc/
"Sapphire Radeon RX 5600 XT BE 6G Pulse OC (11296-05)
",24 099,hotline.ua/computer-videokarty/sapphire-radeon-rx-5600-xt-be-6g-pulse-oc-11296-05/
"ASUS GT710-4H-SL-2GD5
",1 833,hotline.ua/computer-videokarty/asus-gt710-4h-sl-2gd5/
"ASUS DUAL-RTX2070S-A8G-EVO
",27 999,hotline.ua/computer-videokarty/asus-dual-rtx2070s-a8g-evo/
"ASUS AREZ-DUAL-RX580-O8G
",16 899,hotline.ua/computer-videokarty/asus-arez-dual-rx580-o8g/
"PNY Quadro RTX 4000 (VCQRTX4000-PB)
",31 997,hotline.ua/computer-videokarty/pny-quadro-rtx-4000-vcqrtx4000-pb/
"GIGABYTE GeForce GT730 GV-N730D5-2GI
",2 290,hotline.ua/computer-videokarty/gigabyte-geforce-gt730-gv-n730d5-2gi/
"GIGABYTE GeForce GTX 1050 D5 2G (GV-N1050D5-2GD)
",4 276,hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1050-d5-2g-gv-n1050d5-2gd/
"MSI GeForce GT 710 (GT 710 1GD3H LP)
",1 318,hotline.ua/computer-videokarty/msi-geforce-gt-710-gt-710-1gd3h-lp/
"GIGABYTE GeForce GTX 1050 OC 2G (GV-N1050OC-2GD)
",4 481,hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1050-oc-2g-gv-n1050oc-2gd/
"PNY Quadro RTX 6000 (VCQRTX6000-EDU-PB)
",168 364,hotline.ua/computer-videokarty/pny-quadro-rtx-6000-vcqrtx6000-edu-pb/
"MSI GeForce GT 1030 2G LP OC
",2 855,hotline.ua/computer-videokarty/msi-geforce-gt-1030-2g-lp-oc/
"Gainward GeForce GTX 1650 D6 Ghost OC (471056224-1785)
",8 186,hotline.ua/computer-videokarty/gainward-geforce-gtx-1650-d6-ghost-oc-471056224-1785/
"GIGABYTE GT 1030 Low Profile 2G (GV-N1030D5-2GL)
",2 884,hotline.ua/computer-videokarty/gigabyte-gt-1030-low-profile-2g-gv-n1030d5-2gl/
"ASUS GT1030-SL-2G-BRK
",2 781,hotline.ua/computer-videokarty/asus-gt1030-sl-2g-brk/
"AFOX GeForce GT 220 1 GB (AF220-1024D3L2)
",1 027,hotline.ua/computer-videokarty/afox-geforce-gt-220-1-gb-af220-1024d3l2/
"PNY GeForce RTX 3090 24GB XLR8 Gaming Revel Epic-X RGB Triple Fan Edition...
",100 364,hotline.ua/computer-videokarty/pny-geforce-rtx-3090-24gb-xlr8-gaming-revel-epic-x-rgb-triple-fan-edition-vcg309024tfxppb/
"XFX RX 5600 XT 14Gbps THICC III Pro 6GB (RX-56XT6TF48)
",24 999,hotline.ua/computer-videokarty/xfx-rx-5600-xt-14gbps-thicc-iii-pro-6gb-rx-56xt6tf48/
"GIGABYTE P104-100 4G (GV-NP104D5X-4G)
",15 000,hotline.ua/computer-videokarty/gigabyte-p104-100-4g-gv-np104d5x-4g/
"INNO3D GeForce GT 1030 0dB (N1030-1SDV-E5BL)
",2 801,hotline.ua/computer-videokarty/inno3d-geforce-gt-1030-0db-n1030-1sdv-e5bl/
"GIGABYTE GV-N710D5-2GL
",1 720,hotline.ua/computer-videokarty/gigabyte-gv-n710d5-2gl/
"Zotac GeForce GTX 1050 Ti Mini (ZT-P10510A-10L)
",6 560,hotline.ua/computer-videokarty/zotac-geforce-gtx-1050-ti-mini-zt-p10510a-10l/
"ASUS TURBO-RTX2070S-8G-EVO
",26 999,hotline.ua/computer-videokarty/asus-turbo-rtx2070s-8g-evo/
"MSI GeForce GT 710 (GT 710 2GD3H LP)
",1 648,hotline.ua/computer-videokarty/msi-geforce-gt-710-gt-710-2gd3h-lp/
"GIGABYTE GV-N710D5SL-2GL
",1 679,hotline.ua/computer-videokarty/gigabyte-gv-n710d5sl-2gl/
"GIGABYTE AORUS GeForce RTX 3080 XTREME 10G (GV-N3080AORUS X-10GD)
",71 999,hotline.ua/computer-videokarty/gigabyte-aorus-geforce-rtx-3080-xtreme-10g-gv-n3080aorus-x-10gd/
"Matrox M9148 (M9148-E1024LAF)
",22 272,hotline.ua/computer-videokarty/matrox-m9148-m9148-e1024laf/
"ASUS DUAL-RTX2060-O6G-EVO
",33 775,hotline.ua/computer-videokarty/asus-dual-rtx2060-o6g-evo/
"ASUS GT710-SL-2GD5
",2 150,hotline.ua/computer-videokarty/asus-gt710-sl-2gd5/
"ASUS TUF 3-RX5600XT-O6G-EVO-GAMING
",23 999,hotline.ua/computer-videokarty/asus-tuf-3-rx5600xt-o6g-evo-gaming/
