link,name,price
hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1650-d6-oc-low-profile-4g-gv-n1656oc-4gl/,GIGABYTE GeForce GTX 1650 D6 OC Low Profile 4G (GV-N1656OC-4GL),8 942
hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1060-windforce-oc-3g-gv-n1060wf2oc-3gd/,GIGABYTE GeForce GTX 1060 WINDFORCE OC 3G (GV-N1060WF2OC-3GD),8 161
hotline.ua/computer-videokarty/asus-cerberus-gtx1050ti-o4g/,ASUS CERBERUS-GTX1050TI-O4G,7 285
hotline.ua/computer-videokarty/sapphire-radeon-rx-6900-xt-oc-16-gb-nitroplus-11308-01-20g/,Sapphire Radeon RX 6900 XT OC 16 GB NITRO+ (11308-01-20G),64 196
hotline.ua/computer-videokarty/msi-radeon-rx-580-armor-8g-oc/,MSI Radeon RX 580 ARMOR 8G OC,19 678
hotline.ua/computer-videokarty/asus-tuf-gtx1650s-o4g-gaming/,ASUS TUF-GTX1650S-O4G-GAMING,12 850
hotline.ua/computer-videokarty/asus-tuf-rtx3070-o8g-gaming/,ASUS TUF-RTX3070-O8G-GAMING,45 999
hotline.ua/computer-videokarty/gigabyte-geforce-rtx-3080-vision-oc-10g-gv-n3080vision-oc-10gd/,GIGABYTE GeForce RTX 3080 VISION OC 10G (GV-N3080VISION OC-10GD),76 120
hotline.ua/computer-videokarty/asus-ph-gtx1660s-o6g/,ASUS PH-GTX1660S-O6G,17 962
hotline.ua/computer-videokarty/asus-ph-gtx1050ti-4g/,ASUS PH-GTX1050TI-4G,7 472
hotline.ua/computer-videokarty/msi-geforce-gtx-1660-ti-ventus-xs-6g-oc/,MSI GeForce GTX 1660 Ti VENTUS XS 6G OC,18 560
hotline.ua/computer-videokarty/gigabyte-aorus-geforce-rtx-3070-master-8g-gv-n3070aorus-m-8gd/,GIGABYTE AORUS GeForce RTX 3070 MASTER 8G (GV-N3070AORUS M-8GD),48 149
hotline.ua/computer-videokarty/asus-tuf-gtx1650-o4gd6-p-gaming/,ASUS TUF-GTX1650-O4GD6-P-GAMING,8 824
hotline.ua/computer-videokarty/inno3d-geforce-rtx-3090-ichill-x4/,INNO3D GEFORCE RTX 3090 ICHILL X4 (C30904-246XX-1880VA36),97 891
hotline.ua/computer-videokarty/asus-ph-gt1030-o2g/,ASUS PH-GT1030-O2G,2 909
hotline.ua/computer-videokarty/zotac-gaming-geforce-gtx-1660-super-amp-zt-t16620d-10m/,Zotac GAMING GeForce GTX 1660 SUPER AMP (ZT-T16620D-10M),17 019
hotline.ua/computer-videokarty/gigabyte-geforce-rtx-3060-vision-oc-12g-gv-n3060vision-oc-12gd/,GIGABYTE GeForce RTX 3060 VISION OC 12G (GV-N3060VISION OC-12GD),35 117
hotline.ua/computer-videokarty/colorful-geforce-gtx-1050-ti-ne-4g-v/,Colorful GeForce GTX 1050 Ti NE 4G-V,5 996
hotline.ua/computer-videokarty/xfx-radeon-rx-570-rs-8gb-xxx-edition-rx-570p8dfd6/,XFX Radeon RX 570 RS 8GB XXX Edition (RX-570P8DFD6),16 250
hotline.ua/computer-videokarty/asus-dual-gtx1660-o6g-evo/,ASUS DUAL-GTX1660-O6G-EVO,16 466
hotline.ua/computer-videokarty/palit-geforce-gtx-1660-super-6gb-stormx-oc-ne6166ss18j9-161f/,Palit GeForce GTX 1660 Super 6GB StormX OC (NE6166SS18J9-161F),17 947
hotline.ua/computer-videokarty/inno3d-geforce-rtx-3080-ichill-x3-c30803-106xx-1810va37/,INNO3D GEFORCE RTX 3080 ICHILL X3 (C30803-106XX-1810VA37),77 431
hotline.ua/computer-videokarty/msi-geforce-gtx-1060-gaming-x-3g/,MSI GeForce GTX 1060 GAMING X 3G,6 480
hotline.ua/computer-videokarty/msi-geforce-rtx-3060-ventus-3x-12g-oc/,MSI GeForce RTX 3060 VENTUS 3X 12G OC,36 999
hotline.ua/computer-videokarty/msi-geforce-gtx-1070-gaming-x-8g/,MSI GeForce GTX 1070 GAMING X 8G,17 816
hotline.ua/computer-videokarty/palit-geforce-gtx-1060-dual-3gb-ne51060015f9-1061d/,Palit GeForce GTX 1060 Dual 3GB (NE51060015F9-1061D),6 630
hotline.ua/computer-videokarty/msi-geforce-gtx-1050-ti-4gt-oc/,MSI GeForce GTX 1050 TI 4GT OC,6 628
hotline.ua/computer-videokarty/msi-geforce-gtx-1060-3gt-oc/,MSI GeForce GTX 1060 3GT OC,6 150
hotline.ua/computer-videokarty/pny-geforce-rtx-3090-24gb-xlr8-gaming-revel-epic-x-rgb-triple-fan-edition-vcg309024tfxppb/,PNY GeForce RTX 3090 24GB XLR8 Gaming Revel Epic-X RGB Triple Fan Edition...,92 577
hotline.ua/computer-videokarty/msi-geforce-gtx-1070-ti-gaming-8g/,MSI GeForce GTX 1070 Ti GAMING 8G,19 434
hotline.ua/computer-videokarty/msi-geforce-gt-1030-aero-itx-2g-oc/,MSI GeForce GT 1030 AERO ITX 2G OC,2 700
hotline.ua/computer-videokarty/gainward-geforce-gtx-1660-super-pegasus-oc-471056224-1358/,Gainward GeForce GTX 1660 SUPER Pegasus OC (471056224-1358),18 049
hotline.ua/computer-videokarty/sapphire-radeon-rx-6800-xt-16-gb-nitroplus-11304-02-20g/,Sapphire Radeon RX 6800 XT 16 GB NITRO+ (11304-02-20G),50 662
hotline.ua/computer-videokarty/msi-radeon-rx-5600-xt-mech/,MSI Radeon RX 5600 XT MECH,25 110
hotline.ua/computer-videokarty/zotac-geforce-gtx-1660-super-zt-t16620f-10l/,Zotac GeForce GTX 1660 SUPER (ZT-T16620F-10L),18 969
hotline.ua/computer-videokarty/gigabyte-p104-100-4g-gv-np104d5x-4g/,GIGABYTE P104-100 4G (GV-NP104D5X-4G),15 333
hotline.ua/computer-videokarty/afox-geforce-gt-730-4-gb-af730-4096d3l6/,AFOX GeForce GT 730 4 GB (AF730-4096D3L6),2 252
hotline.ua/computer-videokarty/evga-geforce-rtx-2060-ko-ultra-gaming-06g-p4-2068-kr/,EVGA GeForce RTX 2060 KO ULTRA GAMING (06G-P4-2068-KR),21 524
hotline.ua/computer-videokarty/asus-dual-gtx1060-o3g/,ASUS DUAL-GTX1060-O3G,9 542
hotline.ua/computer-videokarty/kfa2-geforce-rtx-2080-super-ex-1-click-oc-28isl6mdu9ek/,KFA2 GeForce RTX 2080 Super EX 1-Click OC (28ISL6MDU9EK),32 999
hotline.ua/computer-videokarty/inno3d-geforce-rtx-3070-ichill-x4-c30704-08d6x-1710va35/,INNO3D GEFORCE RTX 3070 ICHILL X4 (C30704-08D6X-1710VA35),47 101
hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1050-ti-d5-4g-gv-n105td5-4gd/,GIGABYTE GeForce GTX 1050 Ti D5 4G (GV-N105TD5-4GD),6 897
hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1050-ti-oc-low-profile-4g-gv-n105toc-4gl/,GIGABYTE GeForce GTX 1050 Ti OC Low Profile 4G (GV-N105TOC-4GL),6 795
hotline.ua/computer-videokarty/palit-geforce-gtx-1650-gp-oc-ne61650s1bg1-1175a/,Palit GeForce GTX 1650 GP OC (NE61650S1BG1-1175A),9 999
hotline.ua/computer-videokarty/gigabyte-geforce-rtx-2060-gaming-oc-pro-6g-gv-n2060gamingoc-pro-6gd/,GIGABYTE GeForce RTX 2060 GAMING OC PRO 6G (GV-N2060GAMINGOC PRO-6GD),22 983
hotline.ua/computer-videokarty/powercolor-red-dragon-radeon-rx-5700-xt-axrx-5700xt-8gbd6-3dhroc/,PowerColor Red Dragon Radeon RX 5700 XT (AXRX 5700 XT 8GBD6-3DHR/OC),37 499
hotline.ua/computer-videokarty/gainward-geforce-gtx-1660-super-ghost-471056224-1402/,Gainward GeForce GTX 1660 SUPER Ghost (471056224-1402),18 111
hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1050-ti-oc-4g-gv-n105toc-4gd/,GIGABYTE GeForce GTX 1050 Ti OC 4G (GV-N105TOC-4GD),7 190
hotline.ua/computer-videokarty/msi-geforce-rtx-3070-suprim-x-8g/,MSI GeForce RTX 3070 SUPRIM X 8G,47 517
hotline.ua/computer-videokarty/msi-geforce-gt-1030-2gh-lp-oc/,MSI GeForce GT 1030 2GH LP OC,2 677
hotline.ua/computer-videokarty/msi-radeon-rx-470-armor-4g/,MSI Radeon RX 470 ARMOR 4G,7 861
hotline.ua/computer-videokarty/asus-tuf-3-rx5600xt-t6g-evo-gaming/,ASUS TUF 3-RX5600XT-T6G-EVO-GAMING,33 729
hotline.ua/computer-videokarty/amd-radeon-hd-7470-1-gb-64-bit-ddr3-ouga9/,AMD Radeon HD 7470 1 GB 64-bit DDR3 (OUGA9),464
hotline.ua/computer-videokarty/asus-ph-gtx1060-3g/,ASUS PH-GTX1060-3G,6 248
hotline.ua/computer-videokarty/inno3d-geforce-gtx-1660-super-twin-x2-n166s2-06d6-1712va15l/,INNO3D GeForce GTX 1660 SUPER Twin X2 (N166S2-06D6-1712VA15L),17 977
hotline.ua/computer-videokarty/pny-geforce-gtx-1660-super-6gb-single-fan-vcg16606ssfppb/,PNY GeForce GTX 1660 SUPER 6GB Single Fan (VCG16606SSFPPB),17 945
hotline.ua/computer-videokarty/asus-dual-rx5700xt-o8g-evo/,ASUS DUAL-RX5700XT-O8G-EVO,42 142
hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1650-d6-windforce-oc-4g-gv-n1656wf2oc-4gd/,GIGABYTE GeForce GTX 1650 D6 WINDFORCE OC 4G (GV-N1656WF2OC-4GD),9 216
hotline.ua/computer-videokarty/msi-geforce-gtx-1060-armor-3g-ocv1/,MSI GeForce GTX 1060 ARMOR 3G OCV1,6 267
hotline.ua/computer-videokarty/asus-rog-strix-lc-rx6900xt-o16g-gaming/,ASUS ROG-STRIX-LC-RX6900XT-O16G-GAMING,63 307
hotline.ua/computer-videokarty/gainward-geforce-rtx-3080-phantom-gs-ned3080h19ia-1020p/,Gainward GeForce RTX 3080 Phantom GS (NED3080H19IA-1020P/471056224-2140),79 999
hotline.ua/computer-videokarty/asus-rog-strix-rx5500xt-o8g-gaming/,ASUS ROG-STRIX-RX5500XT-O8G-GAMING,17 699
hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1050-d5-2g-gv-n1050d5-2gd/,GIGABYTE GeForce GTX 1050 D5 2G (GV-N1050D5-2GD),4 233
hotline.ua/computer-videokarty/msi-geforce-gtx-1050-ti-aero-itx-4g-ocv1/,MSI GeForce GTX 1050 Ti Aero ITX 4G OCV1,6 587
hotline.ua/computer-videokarty/msi-geforce-gtx-1650-gaming-4g/,MSI GeForce GTX 1650 GAMING 4G,13 413
hotline.ua/computer-videokarty/hp-quadro-p2200-6yt67aa/,HP Quadro P2200 (6YT67AA),14 785
hotline.ua/computer-videokarty/gigabyte-gt-1030-oc-2g-gv-n1030oc-2gi/,GIGABYTE GT 1030 OC 2G (GV-N1030OC-2GI),2 867
hotline.ua/computer-videokarty/palit-geforce-gtx-1650-kalmx-ne5165001bg1-1170h/,Palit GeForce GTX 1650 KalmX (NE5165001BG1-1170H),7 557
hotline.ua/computer-videokarty/sapphire-radeon-rx-6800-16-gb-pulse-11305-02-20g/,Sapphire Radeon RX 6800 16 GB PULSE (11305-02-20G),47 311
hotline.ua/computer-videokarty/sapphire-radeon-rx-6800-xt-se-16-gb-nitroplus-11304-01-20g/,Sapphire Radeon RX 6800 XT SE 16 GB NITRO+ (11304-01-20G),50 452
hotline.ua/computer-videokarty/asus-tuf-gtx1660s-o6g-gaming/,ASUS TUF-GTX1660S-O6G-GAMING,19 620
hotline.ua/computer-videokarty/msi-geforce-rtx-3080-suprim-10g/,MSI GeForce RTX 3080 SUPRIM 10G,90 329
hotline.ua/computer-videokarty/zotac-geforce-gtx-1080-mini-zt-p10800h-10p/,Zotac GeForce GTX 1080 Mini (ZT-P10800H-10P),19 498
hotline.ua/computer-videokarty/msi-geforce-rtx-3080-suprim-10g/,MSI GeForce RTX 3080 SUPRIM 10G,90 329
hotline.ua/computer-videokarty/zotac-geforce-gtx-1080-mini-zt-p10800h-10p/,Zotac GeForce GTX 1080 Mini (ZT-P10800H-10P),19 498
hotline.ua/computer-videokarty/gigabyte-gt-1030-low-profile-2g-gv-n1030d5-2gl/,GIGABYTE GT 1030 Low Profile 2G (GV-N1030D5-2GL),2 738
hotline.ua/computer-videokarty/gigabyte-geforce-rtx-3070-eagle-oc-8g-gv-n3070eagle-oc-8gd/,GIGABYTE GeForce RTX 3070 EAGLE OC 8G (GV-N3070EAGLE OC-8GD),44 499
hotline.ua/computer-videokarty/afox-radeon-r5-220-2-gb-afr5220-2048d3l5/,AFOX Radeon R5 220 2 GB (AFR5220-2048D3L5),965
hotline.ua/computer-videokarty/evga-geforce-gtx-1050-ti-ssc-gaming-acx-30-04g-p4-6255-kr/,EVGA GeForce GTX 1050 Ti SSC GAMING ACX 3.0 (04G-P4-6255-KR),6 210
hotline.ua/computer-videokarty/gigabyte-gv-n710d5-2gl/,GIGABYTE GV-N710D5-2GL,1 730
hotline.ua/computer-videokarty/amd-radeon-r5-340-2gbb-64bit-ddr3-7122107700g-701b5f/,AMD Radeon R5 340 2GBb 64bit DDR3 (7122107700G 701B5F),893
hotline.ua/computer-videokarty/powercolor-radeon-rx-6800-16-gb-red-dragon-axrx-6800-16gbd6-3dhroc/,PowerColor Radeon RX 6800 16 GB Red Dragon (AXRX 6800 16GBD6-3DHR/OC),48 492
hotline.ua/computer-videokarty/asus-dual-rtx2060-o6g-evo/,ASUS DUAL-RTX2060-O6G-EVO,32 419
hotline.ua/computer-videokarty/sapphire-rx-5500-xt-4g-gddr6-pulse-11295-03/,Sapphire RX 5500 XT 4G GDDR6 PULSE (11295-03),10 859
hotline.ua/computer-videokarty/msi-geforce-rtx-3080-suprim-x-10g/,MSI GeForce RTX 3080 SUPRIM X 10G,88 349
hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1050-windforce-oc-2g-gv-n1050wf2oc-2gd/,GIGABYTE GeForce GTX 1050 Windforce OC 2G (GV-N1050WF2OC-2GD),4 406
hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1050-ti-g1-gaming-4g-gv-n105tg1-gaming-4gd/,GIGABYTE GeForce GTX 1050 Ti G1 Gaming 4G (GV-N105TG1 GAMING-4GD),6 372
hotline.ua/computer-videokarty/gigabyte-geforce-gt730-gv-n730d5-2gi/,GIGABYTE GeForce GT730 GV-N730D5-2GI,2 344
hotline.ua/computer-videokarty/palit-geforce-rtx-3070-jetstream-oc-ne63070t19p2-1040j/,Palit GeForce RTX 3070 JetStream OC (NE63070T19P2-1040J),50 999
hotline.ua/computer-videokarty/pny-quadro-rtx-6000-vcqrtx6000-edu-pb/,PNY Quadro RTX 6000 (VCQRTX6000-EDU-PB),165 576
hotline.ua/computer-videokarty/geforce-rtx-3070-phantom-gs-ne63070t19p2-1040p/,"Gainward GeForce RTX 3070 Phantom ""GS"" (NE63070T19P2-1040P)",50 499
hotline.ua/computer-videokarty/asus-dual-rtx3070-o8g/,ASUS DUAL-RTX3070-O8G,47 748
hotline.ua/computer-videokarty/inno3d-geforce-rtx-3090-ichill-x3/,INNO3D GEFORCE RTX 3090 ICHILL X3 (C30903-246XX-1880VA37),104 999
hotline.ua/computer-videokarty/msi-geforce-gt-710-gt-710-1gd3h-lp/,MSI GeForce GT 710 (GT 710 1GD3H LP),1 319
hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1050-oc-low-profile-2g-gv-n1050oc-2gl/,GIGABYTE GeForce GTX 1050 OC Low Profile 2G (GV-N1050OC-2GL),4 253
hotline.ua/computer-videokarty/gigabyte-gv-n710d5-2gil/,GIGABYTE GV-N710D5-2GIL,1 793
hotline.ua/computer-videokarty/asus-arez-dual-rx580-o8g/,ASUS AREZ-DUAL-RX580-O8G,19 000
hotline.ua/computer-videokarty/gaming-geforce-rtx-3070-amp-holo-zt-a30700f-10p/,Zotac GAMING GeForce RTX 3070 AMP Holo (ZT-A30700F-10P),45 581
hotline.ua/computer-videokarty/asus-ph-gtx1660-o6g/,ASUS PH-GTX1660-O6G,15 807
hotline.ua/computer-videokarty/gigabyte-gv-n710d5-1gl/,GIGABYTE GV-N710D5-1GL,1 268
hotline.ua/computer-videokarty/msi-geforce-gt-710-gt-710-2gd3h-lp/,MSI GeForce GT 710 (GT 710 2GD3H LP),1 627
hotline.ua/computer-videokarty/zotac-geforce-gtx-1050-ti-mini-zt-p10510a-10l/,Zotac GeForce GTX 1050 Ti Mini (ZT-P10510A-10L),6 422
hotline.ua/computer-videokarty/asus-gt1030-2g-brk/,ASUS GT1030-2G-BRK,2 715
hotline.ua/computer-videokarty/amd-radeon-r7-240-64bit-ddr3-1322-00u8000/,AMD Radeon R7 240 64bit DDR3 (1322-00U8000),501
hotline.ua/computer-videokarty/afox-geforce-gtx-1050-ti-v2-af1050ti-4096d5h2/,AFOX GeForce GTX 1050 Ti V2 (AF1050TI-4096D5H2),7 776
hotline.ua/computer-videokarty/zotac-gaming-geforce-rtx-3070-twin-edge-oc-zt-a30700h-10p/,Zotac GAMING GeForce RTX 3070 Twin Edge OC (ZT-A30700H-10P),44 881
hotline.ua/computer-videokarty/zotac-gaming-geforce-rtx-3080-amp-holo-zt-a30800f-10p/,Zotac GAMING GeForce RTX 3080 AMP Holo (ZT-A30800F-10P),73 377
hotline.ua/computer-videokarty/asus-gt710-sl-1gd5-brk/,ASUS GT710-SL-1GD5-BRK,1 385
hotline.ua/computer-videokarty/asus-ph-rtx2060-6g/,ASUS PH-RTX2060-6G,17 999
hotline.ua/computer-videokarty/colorful-geforce-gtx-960-4gb-icafe-v3-gtx960-4gd5-v3/,Colorful GeForce GTX 960 4GB iCafe V3 (GTX960-4GD5-V3),6 125
hotline.ua/computer-videokarty/asus-dual-gtx1660s-a6g-evo/,ASUS DUAL-GTX1660S-A6G-EVO,18 525
hotline.ua/computer-videokarty/hp-nvidia-quadro-p2000-1me41aa/,HP NVIDIA Quadro P2000 (1ME41AA),12 375
hotline.ua/computer-videokarty/inno3d-geforce-gt-1030-0db-n1030-1sdv-e5bl/,INNO3D GeForce GT 1030 0dB (N1030-1SDV-E5BL),2 521
hotline.ua/computer-videokarty/powercolor-radeon-rx-6800-xt-16-gb-red-dragon-axrx-6800xt-16gbd6-3dhroc/,PowerColor Radeon RX 6800 XT 16 GB Red Dragon (AXRX 6800XT 16GBD6-3DHR/OC),53 065
hotline.ua/computer-videokarty/msi-geforce-rtx-3070-suprim-8g/,MSI GeForce RTX 3070 SUPRIM 8G,48 999
hotline.ua/computer-videokarty/afox-geforce-gt-730-2-gb-af730-2048d3l7/,AFOX GeForce GT 730 2 GB (AF730-2048D3L7),1 798
hotline.ua/computer-videokarty/msi-geforce-gtx-1050-ti-4gt-lp/,MSI GeForce GTX 1050 TI 4GT LP,7 386
hotline.ua/computer-videokarty/gainward-geforce-rtx-3070-phantom-ne63070019p2-1040p/,Gainward GeForce RTX 3070 Phantom (NE63070019P2-1040P/471056224-2171),44 640
hotline.ua/computer-videokarty/gigabyte-radeon-rx-5500-xt-d6-8g-gv-r55xtd6-8gd/,GIGABYTE Radeon RX 5500 XT D6 8G (GV-R55XTD6-8GD),20 836
hotline.ua/computer-videokarty/gigabyte-geforce-gtx-1050-oc-2g-gv-n1050oc-2gd/,GIGABYTE GeForce GTX 1050 OC 2G (GV-N1050OC-2GD),4 435
hotline.ua/computer-videokarty/inno3d-geforce-gtx-1050-ti-twin-x2-n105t-1ddv-m5cm/,INNO3D GeForce GTX 1050 Ti Twin X2 (N105T-1DDV-M5CM),6 997
hotline.ua/computer-videokarty/gainward-geforce-rtx-3070-phantom-ne63070019p2-1040p/,Gainward GeForce RTX 3070 Phantom (NE63070019P2-1040P/471056224-2171),44 640
