name,city,link
Навчання і виховання обдарованої дитини: теорія та практика,Київ,http://nbuv.gov.ua/j-tit/Nivoo
Известия высших учебных заведений," Радиоэлектроника, Киев",http://nbuv.gov.ua/j-tit/RaEl
Известия Крымской астрофизической обсерватории,,http://nbuv.gov.ua/j-tit/ikao
Кадровий вісник,Київ,http://nbuv.gov.ua/j-tit/kavis
Таврический медико-биологический вестник,Симф.,http://nbuv.gov.ua/j-tit/Tmbv
Фармаком,Харків,http://nbuv.gov.ua/j-tit/pharmakom
Радіоелектронні і комп’ютерні системи,Харків,http://nbuv.gov.ua/j-tit/recs
Україна в Центрально-Східній Європі,Київ,http://nbuv.gov.ua/j-tit/Ucse
Обработка материалов давлением,Краматорск,http://nbuv.gov.ua/j-tit/omd
Свинарство,Полтава,http://nbuv.gov.ua/j-tit/svun
Пам’ятки,Київ,http://nbuv.gov.ua/j-tit/Pam
Автоматика. Автоматизація. Електротехнічні комплекси та системи,Херсон,http://nbuv.gov.ua/j-tit/aaeks
Юридичний вісник,Одеса,http://nbuv.gov.ua/j-tit/urid
Электрические контакты и электроды,,http://nbuv.gov.ua/j-tit/Teke
Электронная микроскопия и прочность материалов,,http://nbuv.gov.ua/j-tit/empm
Химия и технология производств основной химической промышлености,Харьков,http://nbuv.gov.ua/j-tit/Khtexp
Цукрові буряки,"Київ",http://nbuv.gov.ua/j-tit/Cb
Environment & health,Київ,http://nbuv.gov.ua/j-tit/dtz
Бібліотечна планета,Київ,http://nbuv.gov.ua/j-tit/bp
Public and municipal finance,Sumy,http://nbuv.gov.ua/j-tit/pubmunfin
Магістеріум," Журналістика, Київ",http://nbuv.gov.ua/j-tit/Magisterium
Лаврський альманах,Київ,http://nbuv.gov.ua/j-tit/lavral
"Наддніпрянська Україна: історичні процеси, події, постаті",Дніпропетровськ,http://nbuv.gov.ua/j-tit/Nuippp
Кам’яна доба України,Київ,http://nbuv.gov.ua/j-tit/kdu
"З архівів ВУЧК, ГПУ, НКВД, КГБ",Київ,http://nbuv.gov.ua/j-tit/za
Жестова мова й сучасність,Київ,http://nbuv.gov.ua/j-tit/jmis
Таврійський вісник освіти,Херсон,http://nbuv.gov.ua/j-tit/Tvo
Фармацевт Практик,Київ,http://nbuv.gov.ua/j-tit/farmpr
Радіологічний вісник,Київ,http://nbuv.gov.ua/j-tit/radvis
Україна дипломатична,Київ,http://nbuv.gov.ua/j-tit/ukrdip
Образ,Суми,http://nbuv.gov.ua/j-tit/obraz
Світ геотехніки,Запоріжжя,http://nbuv.gov.ua/j-tit/svitgeoteh
Пам’ять століть. Україна,Київ,http://nbuv.gov.ua/j-tit/Psukr
Автоматичне зварювання,Київ,http://nbuv.gov.ua/j-tit/as
Юридичний вісник Причорномор'я,Херсон,http://nbuv.gov.ua/j-tit/urvp
Юридичний вісник. Повітряне і космічне право,Київ,http://nbuv.gov.ua/j-tit/Npnau
Энергосбережение. Энергетика. Энергоаудит,,http://nbuv.gov.ua/j-tit/ecee
Хімічна промисловість України,Київ,http://nbuv.gov.ua/j-tit/Khpu
Environmental economics,Sumy,http://nbuv.gov.ua/j-tit/envirecon
Бібліотечний вісник,Київ,http://nbuv.gov.ua/j-tit/bv
Public manаgement,Київ,http://nbuv.gov.ua/j-tit/pubm
Європейське право,Київ,http://nbuv.gov.ua/j-tit/evrpr
Європейський вектор економічного розвитку,Дніпро,http://nbuv.gov.ua/j-tit/ever
Габітус,Одеса,http://nbuv.gov.ua/j-tit/habit
Ейдос,Київ,http://nbuv.gov.ua/j-tit/eidos
Двигуни внутрішнього згоряння,Харків,http://nbuv.gov.ua/j-tit/dvs
Versus,Мелітополь,http://nbuv.gov.ua/j-tit/vers
Vita antiqua,Київ,http://nbuv.gov.ua/j-tit/va
Visnyk of the National Bank of Ukraine,"Kyiv",http://nbuv.gov.ua/j-tit/vnbuej
Магістеріум," Історико-філософські студії, Київ",http://nbuv.gov.ua/j-tit/Magisterium_ek
Лексикографічний бюлетень,Київ,http://nbuv.gov.ua/j-tit/lecbu
Надзвічайні ситуації: попередження та ліквідація,Черкаси,http://nbuv.gov.ua/j-tit/espl
Карантин і захист рослин,Київ,http://nbuv.gov.ua/j-tit/Kizr
З історії західноукраїнських земель,Львів,http://nbuv.gov.ua/j-tit/zictzahzem
Житомирські літературознавчі студії,Житомир,http://nbuv.gov.ua/j-tit/gls
Таврійський науковий вісник,Херсон,http://nbuv.gov.ua/j-tit/Tavnv
Фармацевтичний журнал,Київ,http://nbuv.gov.ua/j-tit/pharmazh
Радіотехніка,Харків,http://nbuv.gov.ua/j-tit/rvmnts
Україна модерна,"Харків, Київ",http://nbuv.gov.ua/j-tit/ukrmmoder
Обрії,Івано-Франківськ,http://nbuv.gov.ua/j-tit/obrii
Світ Кліо,Київ,http://nbuv.gov.ua/j-tit/clw
Панорама політологічних студій,Рівне,http://nbuv.gov.ua/j-tit/Pps
Автомобіль і електроніка. Сучасні технології,Харків,http://nbuv.gov.ua/j-tit/veit
Юридичний часопис Національної академії внутрішніх справ ,Київ,http://nbuv.gov.ua/j-tit/aymvs
Юридичні записки,Одеса,http://nbuv.gov.ua/j-tit/urdz
"Хімія, фізика та технологія поверхні",Київ,http://nbuv.gov.ua/j-tit/khphtp
Хірургія дитячого віку,Київ,http://nbuv.gov.ua/j-tit/Khdv
Environmental problems,Lviv,http://nbuv.gov.ua/j-tit/envpr
European scientific journal of economic and financial innovation,Київ,http://nbuv.gov.ua/j-tit/esjefi
Бібліотечний Меркурій,Одеса,http://nbuv.gov.ua/j-tit/libmer
Pedagogy of Physical Culture and Sports,Kharkiv,http://nbuv.gov.ua/j-tit/PPMBE
Європейські історичні студії,Київ,http://nbuv.gov.ua/j-tit/eis
Галицький економічний вісник,Тернопіль,http://nbuv.gov.ua/j-tit/gev
Екологічна безпека,Кременчук,http://nbuv.gov.ua/j-tit/ekbez
"Деміург: ідеї, технології, перспективи дизайну",Київ,http://nbuv.gov.ua/j-tit/ditpd
Ukrainian Biochemical Journal,Kyiv,http://nbuv.gov.ua/j-tit/BioChem
Магістеріум," Історичні студії, Київ",http://nbuv.gov.ua/j-tit/Magisterium_j
Леся Українка і сучасність,Луцьк,http://nbuv.gov.ua/j-tit/lesukrsu
Імідж сучасного педагога,Полтава,http://nbuv.gov.ua/j-tit/isp
Надійність і довговічність машин і споруд,Київ,http://nbuv.gov.ua/j-tit/Nidmis
Кардиология: от науки к практике,Киев,http://nbuv.gov.ua/j-tit/Konkp
Загальна патологія та патологічна фізіологія,Луганськ,http://nbuv.gov.ua/j-tit/Zppf
"Журнал вушних, носових і горлових хвороб",Київ,http://nbuv.gov.ua/j-tit/Jvngkh
Таврійський науковий вісник,"ерія : Економіка, Херсон",http://nbuv.gov.ua/j-tit/tavnve
Фармацевтичний часопис,Тернопіль,http://nbuv.gov.ua/j-tit/Phch
Радіофізика і радіоастрономія,Харків,http://nbuv.gov.ua/j-tit/rphra
"Україна та Польща: минуле, сьогодення, перспективи",Луцьк,http://nbuv.gov.ua/j-tit/UPmcp
Обрії друкарства,Київ,http://nbuv.gov.ua/j-tit/obdr
Світ медицини та біології,Полтава,http://nbuv.gov.ua/j-tit/S_med
Парадигма,Львів,http://nbuv.gov.ua/j-tit/paradig
Автомобільний транспорт,Харків,http://nbuv.gov.ua/j-tit/at
Юриспруденція: теорія і практика,Київ,http://nbuv.gov.ua/j-tit/utp
Юрист України,"Харків",http://nbuv.gov.ua/j-tit/uy
Хірургія Донбасу,Луганськ,http://nbuv.gov.ua/j-tit/xdt
Хірургія України,Київ,http://nbuv.gov.ua/j-tit/KhU
East european journal of physics,Kharkiv,http://nbuv.gov.ua/j-tit/eejph
Біблія і культура,Чернівці,http://nbuv.gov.ua/j-tit/bicu
Physical education of students,Kharkiv,http://nbuv.gov.ua/j-tit/PhVSTSE
Європейські педагогічні студії,Київ,http://nbuv.gov.ua/j-tit/epc
Європейські перспективи,Київ,http://nbuv.gov.ua/j-tit/evpe
Вагонний парк,Харків,http://nbuv.gov.ua/j-tit/vagpark
Галицький лікарський вісник,Івано-Франківськ,http://nbuv.gov.ua/j-tit/glv
Екологічна безпека прибережної та шельфової зон та комплексне використання ресурсів шельфу,Севастополь,http://nbuv.gov.ua/j-tit/ebpsz
Демографія та соціальна економіка,Київ,http://nbuv.gov.ua/j-tit/dse
Ukrainian entomological journal,Київ,http://nbuv.gov.ua/j-tit/Uej
Ukrainian Journal of Educational Research,Lviv,http://nbuv.gov.ua/j-tit/ukrjouredres
Магістеріум," Культурологія, Київ",http://nbuv.gov.ua/j-tit/Magisterium_ist
Литературоведческий сборник,Донецк,http://nbuv.gov.ua/j-tit/Lzb
Імунологія та алергологія: наука і практика,Київ,http://nbuv.gov.ua/j-tit/Ita
Надійність інструменту та оптимізація технологічних систем,Краматорськ,http://nbuv.gov.ua/j-tit/Niots
Кардіологія та кардіохірургія: безперевний професійний розвиток,Київ,http://nbuv.gov.ua/j-tit/carcs
Залізничний транспорт України,Київ,http://nbuv.gov.ua/j-tit/ZTU
Журнал дерматовенерології та косметології ім. М. О. Торсуєва,Слов'янськ,http://nbuv.gov.ua/j-tit/jdkit
Таврійський науковий вісник," Економічні науки, Херсон",http://nbuv.gov.ua/j-tit/tnven
Физика и техника высоких давлений,Киев,http://nbuv.gov.ua/j-tit/PhTVD
Радіофізика та електроніка,Харків,http://nbuv.gov.ua/j-tit/rphre
Обрії сучасної лінгвістики,Луганськ,http://nbuv.gov.ua/j-tit/obsl
Світ соціальних комунікацій,Київ,http://nbuv.gov.ua/j-tit/Ssk
Патологія,Запоріжжя,http://nbuv.gov.ua/j-tit/pathology
Автомобільні дороги і дорожне будівництво,Київ,http://nbuv.gov.ua/j-tit/adidb
Хлібопекарська і кондитерська промисловість України,Київ,http://nbuv.gov.ua/j-tit/hpkpu
Холодильна техніка та технологія,Одеса,http://nbuv.gov.ua/j-tit/htit
Economic Processes Management,Sumy,http://nbuv.gov.ua/j-tit/EPM
"Economics, entrepreneurship, management",Lviv,http://nbuv.gov.ua/j-tit/EEM
Бізнес Інформ,Харків,http://nbuv.gov.ua/j-tit/binf
Problems and perspectives in management,Sumy,http://nbuv.gov.ua/j-tit/prperman
Європейські студії і право,Одеса,http://nbuv.gov.ua/j-tit/esp
Єдиноборства,Харків,http://nbuv.gov.ua/j-tit/edinob
Єлисавет," Історичні науки, Кіровоград",http://nbuv.gov.ua/j-tit/Eznpk
"Вентиляція, освітлення та теплогазопостачання",Київ,http://nbuv.gov.ua/j-tit/votp
Галичина,Івано-Франківськ,http://nbuv.gov.ua/j-tit/Nikp
Екологічна безпека та збалансоване ресурсокористування,Івано-Франківськ,http://nbuv.gov.ua/j-tit/ebzp
Демократичне врядування,Львів,http://nbuv.gov.ua/j-tit/DeVr
Ukrainian journal of forest and wood science,Київ,http://nbuv.gov.ua/j-tit/ujfws
Ukrainian journal of mechanical engineering and materials science,Lviv,http://nbuv.gov.ua/j-tit/ujmems
Магістеріум," Літературознавчі студії, Київ",http://nbuv.gov.ua/j-tit/Magisterium_ict
Лікарська справа,Київ,http://nbuv.gov.ua/j-tit/LiSp
Інвестиції: практика та досвід,Київ,http://nbuv.gov.ua/j-tit/ipd
Надтверді матеріали,Київ,http://nbuv.gov.ua/j-tit/sm
Кардіохірургія та інтервенційна кардіологія,Київ,http://nbuv.gov.ua/j-tit/karx
Записки з ономастики,Одеса,http://nbuv.gov.ua/j-tit/zzo
